pair,distance,rdf
O-O,4.7400,0.000000
O-O,4.7800,0.000000
O-O,4.8200,0.000000
O-O,4.8600,0.841169
O-O,4.9000,0.827492
O-O,4.9400,0.000000
O-O,4.9800,0.000000
O-O,5.0200,0.788404
O-O,5.0600,0.000000
O-O,5.1000,0.000000
O-O,5.1400,0.000000
O-O,5.1800,0.000000
O-O,5.2200,0.000000
O-O,5.2600,0.000000
O-O,5.3000,0.000000
O-O,5.3400,0.000000
O-O,5.3800,0.000000
O-O,5.4200,0.225443
O-O,5.4600,0.000000
O-O,5.5000,0.000000
O-O,5.5400,0.000000
O-O,5.5800,0.000000
O-O,5.6200,0.000000
O-O,5.6600,1.447105
O-O,5.7000,0.611514
O-O,5.7400,0.000000
O-O,5.7800,0.198234
O-O,5.8200,0.000000
O-O,5.8600,0.000000
O-O,5.9000,0.000000
O-O,5.9400,0.000000
O-O,5.9800,0.000000
O-O,6.0200,0.000000
O-O,6.0600,0.000000
O-O,6.1000,0.000000
O-O,6.1400,0.000000
O-O,6.1800,0.000000
O-O,6.2200,0.000000
O-O,6.2600,0.506999
O-O,6.3000,0.000000
O-O,6.3400,0.000000
O-O,6.3800,0.000000
O-O,6.4200,0.000000
O-O,6.4600,0.000000
O-O,6.5000,0.156750
O-O,6.5400,0.000000
O-O,6.5800,0.000000
O-O,6.6200,0.000000
O-O,6.6600,0.000000
O-O,6.7000,0.000000
O-O,6.7400,0.000000
O-O,6.7800,0.000000
O-O,6.8200,0.427157
O-O,6.8600,0.000000
O-O,6.9000,0.000000
O-O,6.9400,0.000000
O-O,6.9800,0.000000
O-O,7.0200,0.000000
O-O,7.0600,0.000000
O-O,7.1000,0.000000
O-O,7.1400,0.000000
O-O,7.1800,0.000000
O-O,7.2200,0.000000
O-O,7.2600,0.000000
O-O,7.3000,0.000000
O-O,7.3400,0.000000
O-O,7.3800,0.000000
O-O,7.4200,0.000000
O-O,7.4600,0.000000
O-O,7.5000,0.353210
O-O,7.5400,0.000000
O-O,7.5800,0.000000
O-O,7.6200,0.342173
O-O,7.6600,0.000000
O-O,7.7000,0.000000
O-O,7.7400,0.000000
O-O,7.7800,0.000000
O-O,7.8200,0.324895
O-O,7.8600,0.107199
O-O,7.9000,0.000000
O-O,7.9400,0.000000
O-O,7.9800,0.000000
